lambda,y1,y2,y3,true_y1,true_y2,true_y3
2.153333324793660797e+00,9.264488558777813410e+00,-6.396456887441669181e+00,7.774047365645725405e-01,9.317256283103741765e+00,-6.458829381693356630e+00,8.350696238902762802e-01
2.301753759260250831e+00,6.644634545647611468e+00,-8.828563199131362893e+00,6.648944065333735054e-01,6.603532958968162170e+00,-8.784201691738351414e+00,7.445355782616419615e-01
2.468835613563197029e+00,3.840051995764550252e+00,-1.122208912074538212e+01,7.140129841877883576e-01,3.871565389798655055e+00,-1.124947254963006316e+01,6.231446518658572131e-01
2.511239220150518037e+00,3.263034152565753576e+00,-1.183582263685527636e+01,6.882349242784904231e-01,3.276554269901063243e+00,-1.184322896202287190e+01,5.894303050810495437e-01
2.513660200382906051e+00,3.272952096702523406e+00,-1.189931325190419464e+01,4.944717439831939898e-01,3.244019215398570744e+00,-1.187664874601961884e+01,5.874728652262166673e-01
2.533004607314080836e+00,3.028403251265429752e+00,-1.217293887126444929e+01,4.849051672124214396e-01,2.989829354689840457e+00,-1.214168110960538804e+01,5.717095843756112572e-01
2.564523980915658363e+00,2.599225084570264688e+00,-1.256004234312847956e+01,4.457192289492384329e-01,2.598187962804348938e+00,-1.256541075019261555e+01,5.455696399851295286e-01
2.575995317956989883e+00,2.527380077122957314e+00,-1.277718377948458972e+01,5.827668711373228394e-01,2.462750522811320231e+00,-1.271694747566070127e+01,5.359202233264559467e-01
2.634545806691972025e+00,1.807080289257177119e+00,-1.343890539357955305e+01,3.924860533280240538e-01,1.832103666064794689e+00,-1.346543911047125341e+01,4.855977737559867280e-01
2.751969837822907383e+00,8.208236896616636358e-01,-1.477206716477030746e+01,3.077183030028405319e-01,8.768401989959587750e-01,-1.481281860321232102e+01,3.798395269726786982e-01
2.764916374531837917e+00,7.361434236256344521e-01,-1.491752888486365336e+01,4.423360412714287815e-01,7.962836797231572783e-01,-1.494637794472288128e+01,3.678318041988765663e-01
2.789375421085700690e+00,5.761450338544633620e-01,-1.514889769802787889e+01,3.877913776031395310e-01,6.569024321585809068e-01,-1.518946133845632751e+01,3.449797705982437512e-01
2.825125501580080023e+00,5.600184231047998784e-01,-1.556525232950638582e+01,3.566585918787402165e-01,4.822644164036278824e-01,-1.552179154335459188e+01,3.112111000999615018e-01
2.867973722056305075e+00,3.903612157301229457e-01,-1.592013257197302778e+01,3.243906602431139707e-01,3.156897008873354449e-01,-1.588153938682339117e+01,2.702175033193269793e-01
2.879345326274519667e+00,3.343656004294893735e-01,-1.598188753628991066e+01,1.770346352875106777e-01,2.787948830511339238e-01,-1.596954855800482775e+01,2.592516954692953846e-01
2.897173164752085306e+00,1.364634427096694247e-01,-1.607063466432315835e+01,2.724947271115966130e-01,2.267404357796532766e-01,-1.610096148048426912e+01,2.419931084041842817e-01
2.970589311162052937e+00,-6.481924067375660625e-04,-1.654362214640595141e+01,2.300621113680678120e-01,7.884564831680952735e-02,-1.655330724659949837e+01,1.701711427562619394e-01
3.019746805307028659e+00,5.998170720025759739e-02,-1.680153844207583802e+01,2.116892463426457427e-01,2.872941190967770800e-02,-1.677158460218035430e+01,1.215445764248622024e-01
3.077656569031350209e+00,-6.241330050411224295e-02,-1.689795792076648695e+01,1.746969802294967566e-04,4.173210697396607591e-03,-1.693676866447632534e+01,6.389253356230936709e-02
3.197727584655121635e+00,9.040673430092338592e-02,-1.692744906669683047e+01,2.886678867439649784e-02,-2.825759735006469053e-03,-1.695123471680513205e+01,5.610545429453706739e-02
3.338971453106961640e+00,-1.948457206357223637e-01,-1.641954731019470870e+01,1.300973574894442319e-01,-1.206565136074623928e-01,-1.640772985233198256e+01,1.960997002522635313e-01
3.405983027778240135e+00,-2.092509267513334992e-01,-1.591507861254228473e+01,2.090858787001624863e-01,-2.855237835012312542e-01,-1.595320939494200907e+01,2.613208742184392475e-01
3.421498518799812150e+00,-3.442067058317617723e-01,-1.582262204850510123e+01,1.768962335946731856e-01,-3.373637596111073167e-01,-1.583150950359318188e+01,2.762651785879585153e-01
3.530012446711010998e+00,-8.363794720147202932e-01,-1.481365241900649465e+01,4.724738277547038123e-01,-8.691539314878140576e-01,-1.482536793682153586e+01,3.787263933974265862e-01
3.681703896336496307e+00,-2.099793940284256255e+00,-1.298475129591208876e+01,5.293407671927434777e-01,-2.175683732813081583e+00,-1.304809517078344250e+01,5.142314023412990487e-01
3.767997054141762003e+00,-3.152011000539981289e+00,-1.182802632987407776e+01,5.813910733141222087e-01,-3.223566062275482480e+00,-1.189771423111244530e+01,5.862356126131836875e-01
3.833123062606567988e+00,-4.196641613696622919e+00,-1.103504900210952933e+01,7.081164892885616347e-01,-4.149573598141879316e+00,-1.098186554817809224e+01,6.377167581835274657e-01
3.834172112939695065e+00,-4.128850297915696466e+00,-1.093313035582565718e+01,7.253070547596272011e-01,-4.165360538383244382e+00,-1.096683174466496880e+01,6.385244601262369812e-01
3.912594437199878428e+00,-5.356335808706949919e+00,-9.758471674139821417e+00,7.488163347963788796e-01,-5.414340004254657224e+00,-9.821204738871074369e+00,6.968540803390539384e-01
3.929995165520864475e+00,-5.745540054768338400e+00,-9.600484918120459454e+00,6.251024000218790011e-01,-5.707915939636541758e+00,-9.561660796533752560e+00,7.092279820024506298e-01
3.972245459920683341e+00,-6.376557222050628582e+00,-8.848874800251753214e+00,7.243188707518471992e-01,-6.440880582729218595e+00,-8.924141134669600461e+00,7.383717770104359923e-01
3.972750080850365517e+00,-6.478308655920030468e+00,-8.945521298371122754e+00,6.473754910133123763e-01,-6.449787971072495907e+00,-8.916465948680901477e+00,7.387119962574182352e-01
4.015041172179906859e+00,-7.147188123814231631e+00,-8.200193412962219597e+00,8.092431007526901254e-01,-7.206728983481618833e+00,-8.268252369664878643e+00,7.665480841510536880e-01
4.051518487821190284e+00,-7.896943595261740612e+00,-7.733710125758621601e+00,8.808289249023459888e-01,-7.872405090761604995e+00,-7.701317907163707233e+00,7.894582185933977092e-01
4.065672014819708302e+00,-8.079128955101095855e+00,-7.414484430928330205e+00,7.440841688951032040e-01,-8.132741812652655611e+00,-7.479381159278749358e+00,7.980663525723883378e-01
4.118739422187106314e+00,-9.176992249776757760e+00,-6.712112551114218562e+00,8.438778564695281759e-01,-9.112420541886132597e+00,-6.637237331821372877e+00,8.289046779179952695e-01
4.146596318743539733e+00,-9.672844554769017833e+00,-6.240468099420328763e+00,7.733053441029237307e-01,-9.624991601504774508e+00,-6.188611031935757012e+00,8.441639315556150880e-01
4.146875403206824018e+00,-9.696210285906261106e+00,-6.259059790809307522e+00,8.475639631002795937e-01,-9.630108958805443820e+00,-6.184092803933425309e+00,8.443135117066865591e-01
4.165184576345198231e+00,-1.001680936758586249e+01,-5.946713019633097730e+00,9.146494350102050142e-01,-9.964758098141887288e+00,-5.886628266527062614e+00,8.539824110725056094e-01
4.193962877839391368e+00,-1.054683006452254546e+01,-5.480487275619287502e+00,8.250617657038300523e-01,-1.048527129995898655e+01,-5.414799162399423160e+00,8.686001428787162304e-01
4.196220022319128162e+00,-1.059195634803235464e+01,-5.448758855149738345e+00,8.463088955574669114e-01,-1.052574693081910873e+01,-5.377566138053834877e+00,8.697163752335220765e-01
4.239494760554592290e+00,-1.131326787146934620e+01,-4.679434642578441661e+00,7.958037687370965729e-01,-1.128915656215401242e+01,-4.657122410356617337e+00,8.902538034452941451e-01
4.260590640238067550e+00,-1.162496501272162064e+01,-4.277664095881720918e+00,9.933169963552684889e-01,-1.165091908087063466e+01,-4.301230936935551696e+00,8.996634307570500200e-01
4.306669384250653820e+00,-1.240698369045565741e+01,-3.506680625998178868e+00,8.190864296332382999e-01,-1.241107364088333576e+01,-3.512743755789381694e+00,9.188186248493979136e-01
4.406970261949104462e+00,-1.382479963486052910e+01,-1.700605809910115562e+00,8.811471611004908500e-01,-1.387983161956491251e+01,-1.741891395784282759e+00,9.537211306661922405e-01
4.522527048439877184e+00,-1.523815810141929106e+01,3.466165092060562447e-01,1.015524214243305856e+00,-1.515286129676353610e+01,3.866491571373236180e-01,9.820303011376525504e-01
4.562724313054895120e+00,-1.541930413590592153e+01,1.164231639465650003e+00,9.044148784521923723e-01,-1.546939049036626379e+01,1.145075931441762895e+00,9.888211338304315756e-01
4.640199659173498858e+00,-1.587486895694422984e+01,2.622430901037123174e+00,8.973974890900515700e-01,-1.587530847740253925e+01,2.621974643229524560e+00,9.973954823228147193e-01
4.680919808777741942e+00,-1.607253696183461500e+01,3.392794296059255643e+00,1.025380857050802952e+00,-1.597624631573219567e+01,3.400445807036835522e+00,9.995048864808141476e-01
4.709992692429453065e+00,-1.593281574645857823e+01,3.954855526368610708e+00,1.074190239316289208e+00,-1.599986218775847213e+01,3.954459197869276466e+00,9.999971289033916522e-01
4.717657963757332595e+00,-1.590474261352808583e+01,4.098783987696864806e+00,9.675683587112503536e-01,-1.599933371833150986e+01,4.100053520630366322e+00,9.999861189392235117e-01
4.791494861244134817e+00,-1.593769828166718838e+01,5.502722561355108510e+00,1.042119908892694458e+00,-1.585036146559532355e+01,5.484695465763598676e+00,9.968727611045324899e-01
4.804545895406024059e+00,-1.580847892485292938e+01,5.727957218142341489e+00,1.095064392613694926e+00,-1.579717779471816641e+01,5.724757522304333435e+00,9.957565560436568708e-01
4.889269584911617450e+00,-1.521212867177459671e+01,7.206718455844774773e+00,1.067451655202976690e+00,-1.526269816929314871e+01,7.230057511103154866e+00,9.843973692186428481e-01
4.986558183162556723e+00,-1.426228301767306128e+01,8.788705074370440684e+00,1.061780898698561737e+00,-1.427334813837277316e+01,8.795826899755471828e+00,9.626504658987099505e-01
4.991720741217819501e+00,-1.425152450394348946e+01,8.907905662388909462e+00,1.045427937752428926e+00,-1.421069587548818269e+01,8.872615484981563938e+00,9.612398953888213748e-01
5.010908365086066851e+00,-1.391364872497796057e+01,9.099742787387171461e+00,8.911538035162082094e-01,-1.396960889091212188e+01,9.151635177079304739e+00,9.557729935502907725e-01
5.127431174315280948e+00,-1.226387923293163951e+01,1.060082983619260943e+01,8.151439809214856558e-01,-1.226096528428099930e+01,1.060016531423966413e+01,9.150993075120955611e-01
5.272684906508677827e+00,-9.702940204588905715e+00,1.160565772421946740e+01,8.888897542677061114e-01,-9.725697787617473722e+00,1.169360959646116704e+01,8.470978820450170144e-01
5.298753965043623282e+00,-9.255887689481431480e+00,1.183065312248164069e+01,7.397179070704535953e-01,-9.246739320567508358e+00,1.179568637550225851e+01,8.329575657565229108e-01
5.315622278988084481e+00,-8.943519991804405933e+00,1.191765846286699926e+01,8.926751358808179271e-01,-8.935517840205772444e+00,1.184588418283211020e+01,8.235056462537729827e-01
5.365742084783796884e+00,-8.011368261429330673e+00,1.201380894199657234e+01,8.321125064529970583e-01,-8.010574320683801375e+00,1.192133937466596016e+01,7.940500738483675658e-01
5.407120272725088661e+00,-7.254217558391798271e+00,1.185826559238403810e+01,8.585630894461873108e-01,-7.254150538891740219e+00,1.190115102938473690e+01,7.682257505344965987e-01
5.407500292978171252e+00,-7.239970741433843671e+00,1.195798258315820028e+01,8.495725503501391218e-01,-7.247259438424224598e+00,1.190062471919916476e+01,7.679824140698315871e-01
5.498463298241489383e+00,-5.634592421147240238e+00,1.165135497192941472e+01,6.196655081343588334e-01,-5.645383411524216299e+00,1.160317830229016423e+01,7.066285061803930789e-01
5.607665538692813811e+00,-3.924515618829130581e+00,1.082793685848696796e+01,5.268658530076963942e-01,-3.911934364484848992e+00,1.084025904811507424e+01,6.253030191691290041e-01
5.699391481590613928e+00,-2.638160145568531956e+00,9.988440736622358429e+00,4.764368985677088220e-01,-2.679365483613766141e+00,9.936348618272829114e+00,5.511933787044612787e-01
5.719752666815136166e+00,-2.479842848670970046e+00,9.675006341355091521e+00,4.515990021325439474e-01,-2.437623906652820693e+00,9.712590483409233144e+00,5.340913848167788691e-01
5.734486265562945384e+00,-2.212138573311794865e+00,9.599211118585211366e+00,5.838431893818925023e-01,-2.270267318809956691e+00,9.546827377938418735e+00,5.215776879974225455e-01
5.784714193534298055e+00,-1.785387808409861998e+00,8.927126355393019352e+00,5.634805783258457490e-01,-1.748358865705009091e+00,8.963679803056628259e+00,4.780832547959802392e-01
5.792169770209181223e+00,-1.669371471745434876e+00,8.889139174855943182e+00,3.727848003881416572e-01,-1.677355046077839695e+00,8.875453789646829961e+00,4.715216869734353833e-01
5.804301758701926772e+00,-1.487962336858029921e+00,8.791646088166972461e+00,4.415992036877995353e-01,-1.565399403070039996e+00,8.731352906109030698e+00,4.607886011198343290e-01
5.804874680934521081e+00,-1.615605259419582662e+00,8.677403038830210136e+00,5.289189773859546140e-01,-1.560222157670967391e+00,8.724534873869332685e+00,4.602800513559858753e-01
5.880668744899361755e+00,-8.757047247179821081e-01,7.874558614716842264e+00,3.847682806478961992e-01,-9.618274268950551820e-01,7.824216338302152352e+00,3.917350141081422099e-01
5.953541757856207539e+00,-5.274986108026863407e-01,6.997230416295029620e+00,4.225221298367830558e-01,-5.427144522203616317e-01,6.999182140358772841e+00,3.237057903825654170e-01
5.969409910672212050e+00,-5.254681737239810246e-01,6.800207138470224955e+00,3.866611160568748096e-01,-4.704644448544096358e-01,6.830025766219591787e+00,3.086518906435470333e-01
5.987388452874516709e+00,-3.925773820668164160e-01,6.636341590954745406e+00,3.911150301738133273e-01,-3.963195048924562092e-01,6.644296370528626205e+00,2.915021896426409076e-01
6.133195562317379945e+00,4.258307621478855942e-02,5.471575853005604451e+00,1.302197504435193554e-01,-5.338458467287608700e-02,5.451051440674484105e+00,1.494279924820909322e-01
6.146239706800042057e+00,-4.864459959193152133e-02,5.358191911212137448e+00,2.343335322345380667e-01,-4.070889239587431596e-02,5.377404850138761461e+00,1.365179530607671110e-01
6.231711671846053235e+00,1.136134803629584161e-02,5.012281260305533337e+00,1.412377217229839055e-01,-2.179210169608341262e-03,5.054173758330215982e+00,5.145090814368091098e-02
6.241518353832825383e+00,9.387403088230480974e-02,5.023358632211028407e+00,7.030925792097046656e-02,-1.156426946945198365e-03,5.035529898858832176e+00,4.165489781729355551e-02
